doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
58,,0.737,0.614,0.579,0.927,0.712,0.805,0.383,0.496,0.735,0.688,0.577,0.448,0.943,0.668,0.741,,0.429,0.884,0.399,0.468,0.49,0.267
59,,0.756,0.599,0.515,0.929,0.789,0.79,0.401,0.455,0.698,0.691,0.615,0.409,0.895,0.685,0.699,0.674,0.502,0.844,0.342,0.495,0.513,0.263
60,,0.87,0.602,0.586,0.925,0.817,0.757,0.391,0.444,0.702,0.686,0.647,0.403,0.791,0.706,0.645,0.674,0.51,0.887,0.377,0.512,0.472,0.267
61,,0.775,0.6,0.517,0.933,0.748,0.783,0.39,0.436,0.709,0.681,0.677,0.364,0.717,0.736,0.671,0.679,0.505,0.888,0.355,0.504,0.496,0.27
62,,0.768,0.59,0.497,0.84,0.861,0.754,0.387,0.416,0.717,0.673,0.673,0.375,0.702,0.735,0.639,0.664,0.522,0.84,0.351,0.593,0.477,0.284
63,,0.778,0.581,0.463,0.821,0.92,0.749,0.35,0.42,0.715,0.657,0.699,0.321,0.602,0.746,0.629,0.632,0.563,0.841,0.377,0.639,0.47,0.257
64,,0.728,0.59,0.487,0.734,0.845,0.729,0.386,0.406,0.702,0.648,0.678,0.382,0.636,0.73,0.587,0.782,0.574,0.822,0.363,0.624,0.417,0.263
65,,0.724,0.607,0.502,0.761,0.752,0.716,0.404,0.471,0.715,0.637,0.625,0.483,0.644,0.718,0.62,0.832,0.572,0.798,0.405,0.641,0.437,0.257
66,,0.715,0.582,0.481,0.752,0.644,0.706,0.426,0.423,0.708,0.698,0.614,0.596,0.621,0.657,0.614,0.866,0.571,0.761,0.465,0.663,0.434,0.254
67,,0.685,0.534,0.478,0.733,0.657,0.697,0.436,0.486,0.69,0.706,0.573,0.63,0.585,0.644,0.577,0.8,0.543,0.711,0.47,0.579,0.426,0.25
68,,0.679,0.525,0.426,0.717,0.541,0.708,0.421,0.478,0.657,0.753,0.591,0.577,0.568,0.598,0.611,0.804,0.518,0.628,0.415,0.571,0.44,0.248
69,,0.643,0.488,0.476,0.694,0.574,0.636,0.413,0.541,0.64,0.813,0.519,0.537,0.564,0.614,0.558,0.78,0.475,0.664,0.397,0.556,0.409,0.253
70,,0.629,0.495,0.45,0.69,0.574,0.646,0.389,0.579,0.613,0.79,0.564,0.469,0.522,0.594,0.562,0.743,0.495,0.633,0.407,0.506,0.426,0.26
71,,0.565,0.518,0.454,0.686,0.489,0.616,0.399,0.623,0.632,0.827,0.558,0.461,0.521,0.602,0.529,0.729,0.486,0.596,0.381,0.458,0.396,0.265
72,,0.564,0.464,0.438,0.684,0.513,0.642,0.332,0.564,0.605,0.78,0.57,0.412,0.491,0.591,0.553,0.618,0.473,0.571,0.359,0.515,0.433,0.261
73,,0.495,0.455,0.444,0.69,0.426,0.644,0.363,0.485,0.63,0.686,0.565,0.387,0.53,0.564,0.569,0.633,0.48,0.577,0.364,0.494,0.395,0.265
74,,0.518,0.429,0.512,0.664,0.481,0.622,0.314,0.466,0.639,0.685,0.566,0.373,0.494,0.547,0.585,0.595,0.446,0.596,0.396,0.463,0.438,0.259
75,,0.511,0.411,0.501,0.676,0.383,0.625,0.335,0.418,0.608,0.637,0.568,0.327,0.526,0.516,0.594,0.606,0.458,0.625,0.365,0.464,0.441,0.217
76,,0.513,0.404,0.448,0.641,0.412,0.59,0.327,0.431,0.627,0.667,0.561,0.369,0.692,0.533,0.603,0.66,0.395,0.609,0.399,0.443,0.428,0.233
77,,0.5,0.407,0.417,0.565,0.321,0.609,0.313,0.39,0.542,0.647,0.578,0.355,0.875,0.482,0.639,0.673,0.393,0.605,0.419,0.454,0.458,0.253
78,,0.49,0.29,0.453,0.521,0.348,0.591,0.324,0.41,0.599,0.603,0.535,0.411,0.886,0.526,0.558,0.71,0.388,0.606,0.381,0.408,0.473,0.248
79,,0.494,,0.395,0.55,0.403,0.599,0.33,0.394,0.579,0.62,0.527,0.432,0.82,0.504,0.57,0.624,0.397,0.58,0.398,0.422,0.519,0.225
80,,0.486,,0.418,0.51,0.321,0.598,0.352,0.403,0.603,0.578,0.538,0.478,0.722,0.479,0.577,0.619,0.386,0.606,0.357,0.4,0.434,0.227
81,,0.482,,0.423,0.485,0.323,0.591,0.319,0.423,0.581,0.543,0.513,0.428,0.643,0.541,0.578,0.492,0.373,0.587,0.367,0.407,0.453,0.213
82,,0.438,,0.419,0.439,0.298,0.572,0.336,0.42,0.571,0.541,0.537,0.358,0.677,0.557,0.541,0.552,0.413,0.602,0.314,0.41,0.451,0.217
83,,0.46,,0.449,0.495,0.315,0.57,0.353,0.456,0.566,0.524,0.482,0.386,0.685,0.599,0.549,0.488,0.415,0.58,0.347,0.434,0.423,0.203
84,,0.446,,0.392,0.493,0.293,0.561,0.367,0.466,0.549,0.507,0.491,0.341,0.653,0.551,0.532,0.523,0.413,0.544,0.307,0.433,0.428,0.213
85,,0.441,,0.393,0.485,0.3,0.511,0.385,0.463,0.564,0.532,0.466,0.381,0.62,0.553,0.539,0.516,0.424,0.555,0.321,0.432,0.345,0.234
86,,0.455,,0.378,0.497,0.299,0.529,0.408,0.38,0.514,0.534,0.464,0.299,0.597,0.536,0.545,0.494,0.416,0.514,0.348,0.459,0.381,0.223
87,,0.473,0.337,0.381,0.497,0.292,0.522,0.413,0.427,0.549,0.491,0.463,0.337,0.59,0.539,0.489,0.502,0.415,0.548,0.311,0.448,0.33,0.239
88,,0.493,0.339,0.356,0.536,0.293,0.517,0.399,0.448,0.542,0.517,0.422,0.266,0.577,0.528,0.5,0.466,0.397,0.538,0.289,0.452,0.388,0.238
89,,0.516,0.335,0.324,0.464,0.298,0.499,0.418,0.396,0.529,0.557,0.458,0.298,0.564,0.5,0.483,0.471,0.359,0.548,0.284,0.458,0.325,0.253
90,,0.526,0.306,0.39,0.482,0.301,0.481,0.43,0.411,0.544,0.576,0.415,0.288,0.536,0.486,0.477,0.457,0.322,0.553,0.323,0.463,0.36,0.35
91,,0.484,0.336,0.357,0.451,0.281,0.464,0.454,0.414,0.507,0.554,0.437,0.266,0.524,0.473,0.484,0.469,0.36,0.55,0.299,0.465,0.379,0.385
92,,0.46,0.265,0.385,0.438,0.267,0.435,0.446,0.42,0.502,0.601,0.408,0.276,0.503,0.476,0.446,0.369,0.364,0.528,0.352,0.458,0.311,0.404
93,,0.485,0.299,0.395,0.451,0.27,0.469,0.435,0.408,0.475,0.601,0.431,0.28,0.481,0.473,0.47,0.381,0.39,0.529,0.411,0.502,0.34,0.401
94,,0.469,0.356,0.393,0.449,0.28,0.42,0.44,0.391,0.495,0.62,0.409,0.296,0.504,0.484,0.443,0.367,0.36,0.511,0.438,0.397,0.3,0.397
95,,0.472,0.349,0.369,0.431,0.317,0.458,0.435,0.399,0.468,0.599,0.421,0.295,0.512,0.467,0.439,0.338,0.358,0.474,0.459,0.398,0.285,0.389
96,,0.418,0.338,0.386,0.393,0.202,0.438,0.476,0.367,0.453,0.532,0.427,0.31,0.491,0.445,0.425,0.356,0.376,0.493,0.443,0.39,0.26,0.371
97,,0.433,0.341,0.379,0.445,0.338,0.454,0.374,0.396,0.45,0.536,0.338,0.294,0.478,0.446,0.467,0.339,0.316,0.484,0.439,0.392,0.31,0.322
98,,0.415,0.368,0.379,0.385,0.399,0.451,0.415,0.396,0.475,0.5,0.381,0.336,0.506,0.452,0.45,0.344,0.343,0.476,0.482,0.434,0.312,0.289
99,,0.414,0.384,0.422,0.388,0.4,0.44,0.336,0.394,0.461,0.474,0.323,0.333,0.5,0.429,0.429,0.339,0.275,0.491,0.469,0.361,0.299,0.256
100,,0.432,0.389,0.466,0.501,0.414,0.451,0.365,0.398,0.45,0.493,0.363,0.338,0.524,0.37,0.423,0.349,0.317,0.493,0.464,0.403,0.374,0.244
101,,0.421,0.433,0.506,0.564,0.389,0.482,0.362,0.421,0.46,0.508,0.271,0.405,0.505,0.42,0.354,0.34,0.274,0.49,0.453,0.333,0.406,0.221
102,,0.441,0.415,0.433,0.618,0.429,0.458,0.298,0.445,0.454,0.53,0.307,0.516,0.486,0.398,0.397,0.334,0.254,0.492,0.435,0.37,0.437,
103,,0.41,0.405,0.387,0.519,0.428,0.423,0.311,0.459,0.477,0.467,0.345,0.524,0.504,0.42,0.357,0.324,0.275,0.505,0.416,0.28,0.462,
104,,0.425,0.407,0.39,0.508,0.458,0.436,0.284,0.455,0.418,0.513,0.32,0.48,0.458,0.436,0.344,0.328,0.27,0.485,0.421,0.346,0.444,
105,,0.381,,0.354,0.492,0.473,0.407,0.301,0.461,0.431,0.457,0.305,0.491,0.484,0.393,0.33,0.358,0.258,0.495,0.38,0.384,0.454,
106,,0.387,0.383,0.349,0.561,0.511,0.369,0.233,0.482,0.479,0.499,0.266,0.51,0.422,0.422,0.342,0.327,0.223,0.482,0.373,0.337,0.425,
107,,0.395,0.399,0.303,0.549,0.524,0.372,0.264,0.406,0.481,0.456,0.264,0.521,0.421,0.363,0.337,0.353,0.259,0.488,0.331,0.319,0.432,
108,,0.388,0.35,0.373,0.507,0.543,0.342,0.236,0.46,0.482,0.47,0.225,0.473,0.412,0.389,0.309,0.361,0.215,0.503,0.36,0.293,0.394,
109,,0.39,0.346,0.338,0.499,0.53,0.346,0.192,0.456,0.473,0.494,0.22,0.449,0.425,0.376,0.32,0.363,0.259,0.456,0.327,0.327,0.418,
110,,0.37,0.359,0.355,0.515,0.516,0.268,0.257,0.468,0.479,0.447,0.21,0.462,0.423,0.376,0.316,0.383,0.23,0.468,0.291,0.307,0.346,
111,,0.42,0.335,0.35,0.562,0.503,0.299,0.175,0.46,0.49,0.464,0.229,0.435,0.413,0.359,0.354,0.307,0.255,0.416,0.327,0.32,0.374,
112,,0.411,0.34,0.366,0.46,0.428,0.253,0.22,0.462,0.485,0.408,0.25,0.464,0.431,0.343,0.295,0.299,0.28,0.436,0.333,0.319,0.314,
113,,0.424,0.289,0.342,0.45,0.455,0.294,0.152,0.457,0.475,0.428,0.251,0.456,0.373,0.36,0.308,0.245,0.234,0.362,0.345,0.276,0.376,
114,,0.398,0.263,0.328,0.414,0.438,0.278,0.156,0.433,0.476,0.387,0.242,0.448,0.386,0.324,0.313,0.283,0.282,0.401,0.356,0.36,0.308,
115,,0.42,0.24,0.328,0.425,0.425,0.276,0.111,0.402,0.486,0.393,0.216,0.491,0.383,0.31,0.32,0.241,0.332,0.393,0.361,0.256,0.296,
116,,0.426,0.245,0.311,0.412,0.412,0.27,0.123,0.36,0.488,0.395,0.29,0.43,0.39,0.271,0.323,0.269,0.385,0.358,0.377,0.271,0.313,
117,,0.392,0.23,0.31,0.39,0.388,0.254,0.123,0.407,0.489,0.356,0.238,0.438,0.392,0.317,0.323,0.269,0.412,0.336,0.359,0.254,0.313,
118,,0.402,0.222,0.284,0.417,0.358,0.261,0.088,0.402,0.485,0.365,0.267,0.402,0.373,0.326,0.328,0.288,0.458,0.319,0.361,0.266,0.321,
119,,0.395,0.209,0.273,0.41,0.33,0.208,0.115,0.388,0.493,0.315,0.263,0.405,0.374,0.352,0.297,0.276,0.421,0.335,0.338,0.275,0.311,
120,,0.387,0.19,0.267,0.429,0.34,0.209,0.099,0.369,0.492,0.348,0.26,0.4,0.344,0.342,0.315,0.247,0.413,0.305,0.363,0.256,0.318,
121,,0.364,0.225,0.224,0.442,0.234,0.201,0.111,0.366,0.483,0.326,0.279,0.386,0.288,0.33,0.294,0.307,0.458,0.327,0.315,0.259,0.315,
122,,0.28,0.308,0.255,0.314,0.251,0.2,0.15,0.388,0.478,0.331,0.243,0.367,0.268,0.362,0.263,0.32,0.427,0.285,0.34,0.257,0.305,
