doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
47,,0.525,0.628,0.776,0.66,0.677,0.795,0.494,0.556,0.787,0.892,0.64,0.799,0.86,0.684,0.793,0.691,0.626,0.742,0.649,0.487,0.667,0.62
48,,0.506,0.676,0.814,0.643,0.673,0.79,0.49,0.533,0.791,0.869,0.656,0.787,0.854,0.685,0.767,0.675,0.617,0.731,0.629,0.484,0.621,0.578
49,,0.51,0.656,0.755,0.662,0.688,0.794,0.481,0.534,0.79,0.843,0.655,0.777,0.838,0.647,0.742,0.687,0.591,0.705,0.63,0.449,0.593,0.509
50,,0.503,0.63,0.747,0.694,0.688,0.785,0.475,0.511,0.782,0.836,0.641,0.78,0.822,0.646,0.711,,0.593,0.709,0.601,0.457,0.572,0.491
51,,0.502,0.629,0.746,0.719,0.75,0.781,0.453,0.541,0.783,0.84,0.681,0.773,0.813,0.631,0.702,,0.535,0.694,0.599,0.45,0.568,0.469
52,,0.546,0.598,0.725,0.764,0.798,0.764,0.442,0.498,0.777,0.828,0.676,0.755,0.819,0.607,0.722,,0.533,0.691,0.58,0.446,0.556,0.462
53,,0.56,0.571,0.752,0.846,0.809,0.771,0.437,0.5,0.784,0.819,0.658,0.734,0.839,0.614,0.748,,0.502,0.72,0.574,0.434,0.543,0.455
54,,0.584,0.567,0.718,0.853,0.832,0.74,0.444,0.472,0.77,0.807,0.662,0.702,0.889,0.604,0.716,,0.487,0.738,0.575,0.433,0.511,0.439
55,,0.623,0.559,0.715,0.857,0.816,0.783,0.46,0.466,0.765,0.789,0.625,0.667,0.908,0.593,0.708,,0.501,0.756,0.556,0.453,0.498,0.448
56,,0.667,0.541,0.688,0.845,0.832,0.797,0.461,0.472,0.765,0.744,0.604,0.614,0.901,0.574,0.69,,0.493,0.794,0.554,0.5,0.483,0.446
57,,0.679,0.546,0.696,0.842,0.805,0.798,0.471,0.463,0.764,0.727,0.584,0.56,0.893,0.606,0.666,,0.496,0.801,0.537,0.564,0.469,0.452
58,,0.697,0.531,0.676,0.84,0.812,0.795,0.474,0.449,0.747,0.709,0.589,0.56,0.871,0.601,0.666,,0.462,0.807,0.53,0.584,0.477,0.438
59,,0.78,0.535,0.675,0.833,0.84,0.793,0.475,0.431,0.741,0.685,0.577,0.545,0.852,0.599,0.634,0.53,0.527,0.799,0.49,0.577,0.471,0.437
60,,0.806,0.578,0.67,0.825,0.837,0.78,0.449,0.438,0.737,0.654,0.583,0.522,0.825,0.6,0.627,0.536,0.534,0.835,0.505,0.573,0.466,0.431
61,,0.81,0.571,0.656,0.828,0.804,0.792,0.45,0.435,0.745,0.663,0.587,0.5,0.808,0.588,0.617,0.547,0.513,0.851,0.492,0.556,0.465,0.432
62,,0.758,0.562,0.625,0.812,0.883,0.786,0.441,0.428,0.741,0.655,0.587,0.486,0.796,0.605,0.601,0.529,0.527,0.857,0.486,0.558,0.461,0.423
63,,0.704,0.558,0.571,0.805,0.903,0.793,0.418,0.497,0.768,0.667,0.587,0.462,0.764,0.616,0.58,0.589,0.537,0.84,0.485,0.584,0.469,0.418
64,,0.646,0.537,0.584,0.78,0.868,0.789,0.433,0.531,0.757,0.671,0.542,0.485,0.776,0.602,0.574,0.666,0.524,0.816,0.486,0.575,0.477,0.425
65,,0.605,0.521,0.574,0.78,0.847,0.782,0.412,0.565,0.744,0.676,0.528,0.509,0.768,0.6,0.582,0.671,0.533,0.797,0.481,0.596,0.499,0.414
66,,0.585,0.482,0.547,0.775,0.804,0.772,0.416,0.559,0.738,0.703,0.52,0.534,0.721,0.577,0.563,0.728,0.511,0.748,0.486,0.596,0.437,0.413
67,,0.572,0.446,0.532,0.761,0.801,0.767,0.446,0.574,0.689,0.72,0.495,0.529,0.632,0.565,0.554,0.713,0.513,0.703,0.475,0.578,0.441,0.399
68,,0.561,0.452,0.506,0.76,0.738,0.765,0.424,0.572,0.687,0.768,0.509,0.523,0.616,0.523,0.552,0.714,0.496,0.673,0.473,0.554,0.431,0.396
69,,0.507,0.417,0.507,0.754,0.745,0.768,0.426,0.551,0.676,0.797,0.459,0.52,0.598,0.535,0.543,0.703,0.479,0.665,0.47,0.553,0.427,0.39
70,,0.494,0.426,0.486,0.758,0.751,0.775,0.444,0.511,0.659,0.791,0.475,0.486,0.582,0.505,0.538,0.674,0.492,0.637,0.461,0.515,0.408,0.397
71,,0.474,0.411,0.478,0.758,0.73,0.763,0.418,0.528,0.646,0.78,0.465,0.485,0.559,0.511,0.512,0.659,0.456,0.547,0.459,0.48,0.418,0.403
72,,0.495,0.4,0.472,0.757,0.713,0.772,0.379,0.507,0.629,0.758,0.462,0.456,0.609,0.483,0.524,0.621,0.459,0.525,0.462,0.473,0.423,0.429
73,,0.49,0.401,0.49,0.75,0.693,0.763,0.389,0.47,0.64,0.699,0.48,0.454,0.638,0.482,0.502,0.615,0.448,0.525,0.463,0.457,0.418,0.442
74,,0.475,0.371,0.511,0.729,0.701,0.749,0.347,0.453,0.628,0.694,0.438,0.425,0.636,0.471,0.518,0.587,0.425,0.541,0.463,0.446,0.459,0.45
75,,0.459,0.372,0.51,0.718,0.618,0.747,0.363,0.427,0.616,0.652,0.435,0.417,0.646,0.458,0.517,0.599,0.422,0.547,0.438,0.435,0.504,
76,,0.452,0.306,0.492,0.69,0.594,0.726,0.348,0.433,0.627,0.641,0.471,0.39,0.713,0.45,0.516,0.624,0.376,0.581,0.445,0.426,0.528,
77,,0.431,0.32,0.465,0.555,0.53,0.726,0.342,0.432,0.584,0.626,0.475,0.405,0.758,0.41,0.513,0.627,0.378,0.588,0.474,0.428,0.546,
78,,0.42,0.316,0.482,0.518,0.534,0.719,0.426,0.438,0.623,0.61,0.473,0.424,0.775,0.426,0.474,0.566,0.367,0.641,0.484,0.385,0.544,
79,,0.384,,0.423,0.535,0.507,0.709,0.534,0.454,0.617,0.607,0.469,0.441,0.749,0.4,0.48,0.549,0.359,0.638,0.475,0.395,0.57,
80,,0.38,,0.433,0.497,0.459,0.693,0.566,0.464,0.627,0.548,0.437,0.466,0.674,0.394,0.466,0.533,0.358,0.638,0.457,0.361,0.58,
81,,0.375,,0.421,0.479,0.455,0.673,0.609,0.528,0.608,0.506,0.43,0.423,0.63,0.431,0.458,0.479,0.341,0.629,0.437,0.376,0.569,
82,,0.328,,0.425,0.467,0.433,0.664,0.603,0.577,0.6,0.469,0.433,0.389,0.632,0.493,0.413,0.506,0.355,0.609,0.391,0.383,0.555,
83,,0.338,,0.405,0.468,0.437,0.619,0.606,0.617,0.611,0.454,0.381,0.372,0.659,0.511,0.425,0.479,0.349,0.561,0.402,0.386,0.554,
