doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
104,,0.348,0.255,0.357,0.384,0.326,0.398,0.237,0.361,0.355,0.341,0.233,0.376,0.387,0.305,0.305,0.248,0.194,0.363,0.31,0.266,0.415,
105,,0.343,,0.34,0.364,0.322,0.365,0.243,0.36,0.35,0.324,0.23,0.368,0.387,0.3,0.284,0.268,0.189,0.361,0.319,0.271,0.398,
106,,0.343,0.271,0.321,0.382,0.341,0.362,0.21,0.344,0.35,0.323,0.219,0.346,0.374,0.312,0.286,0.272,0.288,0.354,0.314,0.251,0.385,
107,,0.341,0.277,0.304,0.368,0.363,0.352,0.215,0.339,0.356,0.317,0.223,0.326,0.365,0.291,0.278,0.272,0.302,0.349,0.308,0.249,0.38,
108,,0.407,0.271,0.315,0.359,0.367,0.343,0.208,0.344,0.353,0.315,0.197,0.314,0.355,0.298,0.273,0.27,0.304,0.345,0.304,0.234,0.374,
109,,0.413,0.271,0.303,0.353,0.365,0.329,0.197,0.339,0.346,0.312,0.187,0.295,0.357,0.294,0.276,0.27,0.315,0.323,0.283,0.242,0.353,
110,,0.423,0.27,0.293,0.357,0.365,0.286,0.2,0.329,0.34,0.3,0.172,0.298,0.347,0.289,0.258,0.275,0.322,0.332,0.274,0.233,0.328,
111,,0.425,0.268,0.282,0.362,0.358,0.286,0.17,0.309,0.329,0.3,0.176,0.33,0.335,0.276,0.263,0.259,0.32,0.295,0.273,0.23,0.326,
112,,0.43,0.27,0.272,0.333,0.349,0.27,0.183,0.32,0.323,0.28,0.177,0.347,0.33,0.262,0.234,0.256,0.311,0.3,0.269,0.223,0.313,
113,,0.433,0.254,0.257,0.33,0.343,0.278,0.147,0.321,0.328,0.276,0.167,0.355,0.32,0.216,0.244,0.246,0.287,0.284,0.269,0.219,0.314,
114,,0.385,0.243,0.239,0.318,0.332,0.269,0.148,0.317,0.323,0.266,0.162,0.355,0.314,0.217,0.247,0.253,0.309,0.278,0.277,0.223,0.295,
115,,0.379,0.232,0.24,0.318,0.324,0.274,0.137,0.313,0.323,0.266,0.154,0.356,0.288,0.205,0.245,0.277,0.348,0.275,0.284,0.198,0.291,
116,,0.369,0.234,0.234,0.314,0.307,0.271,0.134,0.308,0.331,0.256,0.161,0.358,0.295,0.188,0.238,0.298,0.382,0.259,0.296,0.2,0.289,
117,,0.354,0.225,0.232,0.301,0.292,0.254,0.127,0.305,0.33,0.242,0.151,0.338,0.29,0.19,0.231,0.293,0.393,0.252,0.295,0.198,0.288,
