doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
75,,0.402,0.365,0.458,0.427,0.422,0.546,0.365,0.372,0.489,0.507,0.373,0.359,0.462,0.413,0.432,0.472,0.381,0.454,0.403,0.404,0.483,0.316
76,,0.401,0.35,0.424,0.403,0.441,0.511,0.379,0.374,0.491,0.498,0.378,0.365,0.523,0.415,0.419,0.493,0.341,0.48,0.398,0.382,0.482,0.304
77,,0.375,0.347,0.389,0.387,0.399,0.518,0.349,0.387,0.444,0.48,0.389,0.376,0.572,0.381,0.425,0.518,0.352,0.478,0.382,0.389,0.471,0.308
78,,0.354,0.291,0.418,0.376,0.398,0.501,0.363,0.389,0.474,0.457,0.371,0.4,0.618,0.411,0.385,0.477,0.35,0.482,0.375,0.356,0.483,0.307
79,,0.373,,0.378,0.385,0.389,0.48,0.394,0.382,0.446,0.446,0.381,0.412,0.588,0.391,0.387,0.436,0.352,0.455,0.399,0.371,0.489,0.293
80,,0.353,,0.386,0.38,0.333,0.48,0.451,0.386,0.491,0.427,0.347,0.429,0.566,0.384,0.382,0.421,0.338,0.452,0.368,0.362,0.463,0.295
81,,0.317,,0.405,0.381,0.349,0.452,0.426,0.512,0.478,0.421,0.339,0.383,0.544,0.399,0.385,0.394,0.325,0.472,0.381,0.354,0.443,0.281
82,,0.312,,0.38,0.373,0.33,0.44,0.427,0.606,0.454,0.394,0.361,0.362,0.55,0.406,0.371,0.43,0.374,0.453,0.341,0.352,0.458,0.281
83,,0.309,,0.39,0.415,0.346,0.435,0.446,0.585,0.473,0.395,0.31,0.351,0.531,0.46,0.338,0.388,0.397,0.453,0.368,0.352,0.431,0.273
84,,0.281,,0.358,0.406,0.333,0.424,0.452,0.558,0.456,0.399,0.335,0.339,0.496,0.431,0.356,0.408,0.392,0.425,0.352,0.335,0.413,0.278
85,,0.354,,0.375,0.424,0.335,0.424,0.407,0.634,0.465,0.441,0.302,0.349,0.47,0.424,0.351,0.399,0.428,0.425,0.336,0.329,0.377,0.289
86,,0.338,,0.356,0.432,0.335,0.418,0.378,0.582,0.43,0.414,0.315,0.319,0.462,0.418,0.36,0.391,0.377,0.447,0.371,0.398,0.357,0.284
87,,0.367,0.316,0.356,0.416,0.308,0.417,0.395,0.518,0.437,0.421,0.311,0.345,0.46,0.433,0.342,0.389,0.334,0.449,0.34,0.348,0.338,0.281
88,,0.398,0.318,0.339,0.44,0.314,0.414,0.357,0.499,0.434,0.415,0.289,0.297,0.458,0.41,0.339,0.384,0.318,0.447,0.355,0.337,0.361,0.277
89,,0.427,0.312,0.332,0.378,0.312,0.406,0.375,0.458,0.435,0.432,0.346,0.332,0.455,0.383,0.345,0.382,0.301,0.433,0.321,0.338,0.347,0.29
90,,0.438,0.311,0.34,0.395,0.327,0.393,0.392,0.463,0.433,0.448,0.319,0.329,0.446,0.371,0.338,0.367,0.309,0.416,0.345,0.342,0.331,0.34
91,,0.381,0.329,0.315,0.372,0.299,0.396,0.37,0.463,0.403,0.47,0.293,0.298,0.452,0.368,0.354,0.377,0.314,0.458,0.359,0.331,0.333,0.37
92,,0.33,0.282,0.351,0.348,0.294,0.39,0.362,0.42,0.406,0.461,0.283,0.323,0.426,0.363,0.357,0.246,0.309,0.445,0.404,0.322,0.296,0.384
93,,0.358,0.316,0.344,0.333,0.324,0.379,0.338,0.423,0.379,0.459,0.29,0.267,0.401,0.353,0.365,0.327,0.314,0.443,0.487,0.33,0.319,0.4
94,,0.347,0.319,0.368,0.337,0.297,0.376,0.347,0.386,0.408,0.463,0.284,0.309,0.427,0.343,0.359,0.322,0.295,0.452,0.538,0.318,0.275,0.4
95,,0.37,0.288,0.352,0.349,0.288,0.393,0.356,0.389,0.37,0.454,0.293,0.309,0.424,0.339,0.36,0.32,0.28,0.414,0.547,0.343,0.28,0.365
96,,0.353,0.314,0.34,0.338,0.249,0.388,0.353,0.38,0.367,0.429,0.296,0.309,0.418,0.314,0.36,0.323,0.313,0.424,0.509,0.349,0.263,0.358
97,,0.362,0.313,0.361,0.369,0.338,0.398,0.319,0.389,0.367,0.43,0.227,0.303,0.391,0.324,0.381,0.329,0.28,0.415,0.484,0.322,0.306,0.355
98,,0.351,0.319,0.348,0.371,0.368,0.387,0.319,0.399,0.37,0.416,0.275,0.309,0.41,0.315,0.368,0.328,0.286,0.415,0.432,0.337,0.303,0.346
99,,0.368,0.313,0.397,0.395,0.382,0.387,0.312,0.404,0.369,0.401,0.249,0.299,0.409,0.303,0.338,0.326,0.244,0.411,0.367,0.308,0.261,0.326
100,,0.367,0.306,0.407,0.4,0.415,0.401,0.313,0.395,0.335,0.387,0.254,0.263,0.41,0.289,0.326,0.331,0.274,0.411,0.394,0.324,0.312,0.321
101,,0.36,0.245,0.433,0.4,0.412,0.416,0.324,0.405,0.34,0.354,0.212,0.308,0.413,0.302,0.314,0.319,0.257,0.405,0.349,0.293,0.285,0.314
102,,0.357,0.278,0.411,0.403,0.4,0.395,0.289,0.414,0.345,0.384,0.23,0.336,0.391,0.302,0.327,0.302,0.21,0.393,0.335,0.312,0.366,
103,,0.351,0.282,0.407,0.375,0.365,0.389,0.301,0.384,0.342,0.374,0.258,0.322,0.406,0.288,0.292,0.299,0.282,0.388,0.32,0.299,0.409,
104,,0.37,0.275,0.391,0.359,0.33,0.395,0.289,0.368,0.329,0.384,0.217,0.319,0.382,0.318,0.303,0.315,0.251,0.39,0.343,0.294,0.332,
105,,0.354,,0.349,0.347,0.406,0.381,0.284,0.384,0.324,0.345,0.209,0.321,0.399,0.28,0.304,0.33,0.247,0.401,0.316,0.313,0.318,
106,,0.35,0.257,0.353,0.362,0.414,0.362,0.259,0.381,0.345,0.363,0.189,0.324,0.373,0.31,0.305,0.319,0.229,0.381,0.316,0.285,0.317,
107,,0.355,0.274,0.305,0.354,0.434,0.339,0.27,0.373,0.333,0.367,0.208,0.317,0.387,0.256,0.288,0.301,0.253,0.382,0.277,0.271,0.32,
108,,0.343,0.25,0.32,0.342,0.459,0.329,0.25,0.371,0.33,0.345,0.178,0.31,0.375,0.276,0.271,0.328,0.217,0.377,0.287,0.266,0.296,
109,,0.352,0.241,0.268,0.339,0.44,0.334,0.243,0.369,0.327,0.362,0.174,0.327,0.37,0.258,0.264,0.308,0.235,0.358,0.295,0.274,0.286,
110,,0.316,0.268,0.303,0.351,0.457,0.308,0.265,0.36,0.326,0.327,0.201,0.362,0.37,0.288,0.244,0.336,0.242,0.371,0.287,0.271,0.259,
111,,0.321,0.262,0.284,0.348,0.427,0.318,0.213,0.363,0.313,0.331,0.192,0.332,0.354,0.258,0.279,0.315,0.228,0.34,0.275,0.265,0.282,
112,,0.339,0.25,0.275,0.324,0.408,0.315,0.248,0.365,0.316,0.301,0.214,0.342,0.356,0.223,0.242,0.312,0.25,0.359,0.256,0.26,0.241,
113,,0.343,0.238,0.281,0.322,0.401,0.311,0.213,0.36,0.345,0.313,0.17,0.35,0.329,0.258,0.24,0.302,0.222,0.342,0.279,0.246,0.295,
114,,0.334,0.222,0.272,0.295,0.38,0.309,0.221,0.347,0.28,0.291,0.155,0.324,0.341,0.225,0.269,0.313,0.261,0.337,0.288,0.266,0.277,
115,,0.364,0.208,0.277,0.312,0.366,0.307,0.201,0.33,0.315,0.3,0.148,0.337,0.348,0.237,0.265,0.293,0.3,0.336,0.296,0.218,0.259,
116,,0.33,0.21,0.275,0.328,0.324,0.298,0.185,0.337,0.326,0.288,0.187,0.329,0.346,0.203,0.264,0.304,0.367,0.297,0.326,0.239,0.265,
117,,0.311,0.227,0.274,0.283,0.311,0.287,0.173,0.348,0.328,0.264,0.144,0.336,0.336,0.243,0.258,0.279,0.401,0.328,0.292,0.241,0.257,
118,,0.316,0.202,0.259,0.288,0.305,0.28,0.151,0.348,0.316,0.304,0.185,0.291,0.327,0.251,0.251,0.284,0.43,0.288,0.306,0.243,0.288,
119,,0.312,0.211,0.248,0.272,0.281,0.262,0.16,0.348,0.313,0.264,0.177,0.298,0.323,0.263,0.254,0.309,0.433,0.308,0.29,0.23,0.293,
120,,0.321,0.183,0.258,0.289,0.284,0.261,0.144,0.329,0.312,0.268,0.138,0.276,0.307,0.241,0.26,0.267,0.368,0.301,0.316,0.233,0.277,
121,,0.322,0.222,0.242,0.283,0.252,0.263,0.154,0.34,0.32,0.286,0.153,0.291,0.311,0.23,0.237,0.29,0.423,0.302,0.265,0.244,0.295,
