doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
83,,0.32,,0.394,0.625,0.506,0.866,0.871,0.713,0.741,0.446,0.355,0.401,0.809,0.485,0.439,0.506,0.316,0.633,0.447,0.392,0.697,0.33
84,,0.308,,0.417,0.734,0.525,0.801,0.862,0.725,0.747,0.411,0.336,0.459,0.882,0.538,0.464,0.488,0.296,0.623,0.444,0.39,0.634,0.329
85,,0.316,,0.448,0.768,0.51,0.71,0.777,0.704,0.706,0.405,0.328,0.439,0.897,0.53,0.472,0.489,0.288,0.618,0.484,0.407,0.618,0.311
86,,0.364,,0.366,0.79,0.455,0.647,0.71,0.725,0.698,0.389,0.328,0.406,0.917,0.503,0.463,0.479,0.3,0.618,0.45,0.405,0.593,0.299
87,,0.372,0.551,0.386,0.826,0.458,0.63,0.601,0.686,0.682,0.389,0.312,0.405,0.974,0.456,0.463,0.472,0.249,0.551,0.446,0.409,0.52,0.289
88,,0.348,0.571,0.359,0.825,0.437,0.616,0.54,0.632,0.682,0.395,0.292,0.359,0.94,0.391,0.483,0.456,0.255,0.559,0.449,0.407,0.486,0.297
89,,0.367,0.465,0.342,0.801,0.421,0.599,0.527,0.585,0.668,0.352,0.292,0.378,0.96,0.385,0.5,0.434,0.247,0.527,0.437,0.411,0.397,0.309
90,,0.353,0.451,0.354,0.734,0.413,0.597,0.483,0.513,0.626,0.376,0.264,0.368,0.964,0.358,0.478,0.413,0.244,0.515,0.423,0.466,0.386,0.358
91,,0.335,0.404,0.331,0.628,0.4,0.567,0.453,0.508,0.622,0.384,0.272,0.374,0.958,0.333,0.576,0.383,0.227,0.519,0.399,0.498,0.365,0.394
92,,0.361,0.341,0.385,0.589,0.413,0.544,0.4,0.506,0.575,0.435,0.258,0.364,0.935,0.307,0.599,0.363,0.203,0.501,0.428,0.483,0.377,0.402
93,,0.316,0.366,0.492,0.509,0.348,0.586,0.409,0.522,0.56,0.412,0.268,0.365,0.83,0.303,0.628,0.348,0.223,0.506,0.401,0.409,0.386,0.408
94,,0.3,0.304,0.54,0.511,0.363,0.542,0.389,0.503,0.541,0.395,0.254,0.348,0.688,0.306,0.614,0.314,0.226,0.475,0.406,0.317,0.417,0.413
95,,0.342,0.302,0.553,0.495,0.333,0.6,0.363,0.482,0.517,0.403,0.248,0.337,0.677,0.292,0.607,0.304,0.223,0.455,0.4,0.342,0.485,0.398
96,,0.335,0.306,0.561,0.528,0.336,0.619,0.371,0.478,0.479,0.403,0.233,0.387,0.65,0.28,0.61,0.304,0.22,0.452,0.386,0.314,0.522,0.351
97,,0.346,0.329,0.651,0.5,0.353,0.658,0.325,0.473,0.428,0.375,0.233,0.409,0.601,0.271,0.61,0.3,0.217,0.396,0.369,0.337,0.573,0.338
98,,0.339,0.321,0.623,0.474,0.348,0.502,0.307,0.496,0.49,0.325,0.212,0.436,0.584,0.256,0.568,0.295,0.232,0.409,0.375,0.301,0.571,0.343
99,,0.324,0.313,0.582,0.478,0.37,0.538,0.299,0.484,0.467,0.332,0.196,0.458,0.522,0.255,0.555,0.288,0.215,0.388,0.373,0.308,0.596,0.355
100,,0.322,0.303,0.565,0.416,0.365,0.52,0.305,0.454,0.451,0.313,0.199,0.503,0.515,0.249,0.452,0.286,0.194,0.381,0.372,0.294,0.479,0.358
101,,0.327,0.303,0.543,0.427,0.366,0.536,0.26,0.41,0.4,0.333,0.146,0.449,0.48,0.248,0.413,0.274,0.196,0.369,0.368,0.273,0.44,0.337
102,,0.311,0.265,0.516,0.418,0.393,0.51,0.263,0.403,0.402,0.321,0.211,0.434,0.463,0.28,0.384,0.289,0.188,0.353,0.361,0.276,0.48,
103,,0.453,0.295,0.467,0.421,0.361,0.489,0.256,0.399,0.39,0.3,0.218,0.449,0.437,0.287,0.33,0.241,0.179,0.341,0.346,0.225,0.501,
104,,0.452,0.321,0.403,0.41,0.333,0.477,0.223,0.378,0.348,0.302,0.24,0.432,0.433,0.279,0.329,0.222,0.196,0.299,0.345,0.276,0.523,
